Nombre,Shampoo,Papel Higiénico,Servilletas,Toallas de papel,Dulces,Limpiadores del hogar,Quesos,Yogurt,Mantequilla,Postres,Verduras congeladas,Café,Té,Snacks chips,Galletas dulces,Galletas saladas,Harina,Frutas en conserva,Leche,Manjar y mermeladas,Pasta,Arroz,Salsas ,Mariscos y pescados en conserva,Especias,Semillas,Sopas,Sustitutos del azúcar,Carne de vacuno,Carne de aves,Jugos en polvo,Cecinas envasadas,Quesos envasados,Carne de cerdo,Cecinas,Jabon,Mayonesas y dressings,Aceites,Barras de cereal,"Paltas, uvas y fruta seca","Naranjas, limones y sandias","Manzanas, duraznos y peras",Tomates y cebollas,Lechugas y champiñones,Papas y zapallos
Especias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17226.0,1783.0,3457.0,5351.0,5359.0,5210.0,2473.0,6158.0,6996.0,1954.0,4743.0,2917.0,4653.0,7077.0,4110.0,1663.0,2339.0,2944.0,4237.0,4586.0,3311.0
Semillas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17721.0,1155.0,2025.0,3730.0,3011.0,1292.0,5041.0,5885.0,1299.0,3960.0,1284.0,2842.0,2467.0,2537.0,1550.0,1802.0,2388.0,3059.0,3057.0,2042.0
Sopas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13300.0,4326.0,4297.0,4032.0,2393.0,4953.0,5249.0,1373.0,3673.0,2393.0,3935.0,5439.0,3464.0,1123.0,1423.0,2268.0,2862.0,3353.0,2466.0
Sustitutos del azúcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24550.0,6270.0,6373.0,3435.0,7861.0,8242.0,2174.0,6475.0,4163.0,5784.0,9566.0,5746.0,1837.0,2545.0,3705.0,4105.0,4689.0,3423.0
Carne de vacuno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49036.0,14704.0,3934.0,16448.0,15311.0,6756.0,11259.0,3769.0,7311.0,8738.0,7225.0,4939.0,6292.0,8465.0,12500.0,13240.0,9529.0
Carne de aves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41134.0,4010.0,12912.0,13114.0,6470.0,11555.0,3596.0,6730.0,8305.0,6707.0,3682.0,4987.0,6824.0,9572.0,10897.0,7855.0
Jugos en polvo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14837.0,5036.0,4850.0,1232.0,4441.0,2119.0,3237.0,4289.0,4097.0,1044.0,1346.0,2401.0,2572.0,2858.0,1916.0
Cecinas envasadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54824.0,19604.0,6979.0,12145.0,4558.0,10866.0,9879.0,8371.0,5369.0,5773.0,7834.0,11413.0,10949.0,7563.0
Quesos envasados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56488.0,4198.0,15365.0,4920.0,8869.0,10315.0,9715.0,6272.0,6950.0,10340.0,12788.0,13530.0,8950.0
Carne de cerdo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16506.0,3874.0,1139.0,2932.0,2873.0,1969.0,1085.0,1793.0,1999.0,3303.0,3548.0,2522.0
