,0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49,51,52,53,54,57,58,59,60,61,62,63,64,74,75,76,77,78,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,137,138,139,140,142,150,152,153,154,156,157,158,159,161,162,165,166,167,168,171,174,175,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,194,195,196,197,198,199,201,206,208,209,212,213,214,215,216,217,218,241,247,248,250,254,256,261,265,266,268,269,272,274,279,280,281,283,288,291,295,298,306,307,308,309,310,311,314,315,316,318,320,321,324,326,327,328,329,330,331,334,338,339,342,352,353,356,358,361,365,367,373,375,378,383,384,385,386,388,389,393,394,408,420,426,429,431,432,436,457,458,459,460,461,462,463,465,473,474,476,477,478,480,483,485,486,487,488,489,490,492,493,496,497,500,504,505,506,507,508,509,510
0,8875.0,341.0,5600.0,625.0,280.0,432.0,161.0,116.0,1612.0,92.0,1492.0,5.0,2.0,1123.0,617.0,2143.0,404.0,1536.0,1696.0,565.0,83.0,1235.0,711.0,4.0,99.0,23.0,162.0,27.0,4.0,6.0,293.0,643.0,73.0,4.0,2634.0,483.0,187.0,385.0,73.0,31.0,171.0,248.0,4.0,124.0,28.0,2.0,22.0,75.0,21.0,0.0,158.0,77.0,0.0,52.0,381.0,1120.0,216.0,44.0,1728.0,2484.0,37.0,23.0,554.0,3293.0,2544.0,40.0,1203.0,79.0,655.0,108.0,853.0,1569.0,483.0,646.0,1203.0,1971.0,1688.0,3211.0,924.0,542.0,1086.0,35.0,1021.0,4122.0,991.0,2722.0,2294.0,1942.0,2302.0,444.0,1578.0,723.0,225.0,1361.0,2214.0,332.0,793.0,622.0,2173.0,2095.0,7.0,2258.0,1324.0,279.0,2013.0,1742.0,838.0,2684.0,2849.0,1094.0,271.0,678.0,2833.0,615.0,89.0,76.0,6.0,17.0,5.0,3.0,24.0,5.0,1.0,0.0,95.0,0.0,7.0,2.0,3.0,2.0,700.0,246.0,6.0,5.0,17.0,2162.0,3.0,49.0,123.0,59.0,28.0,7.0,25.0,2499.0,1768.0,895.0,1380.0,1379.0,1339.0,412.0,531.0,492.0,33.0,8.0,115.0,190.0,174.0,86.0,70.0,35.0,6.0,178.0,5.0,1913.0,2662.0,957.0,31.0,3.0,4.0,2360.0,8.0,44.0,48.0,10.0,2.0,0.0,0.0,42.0,6.0,66.0,69.0,48.0,151.0,23.0,65.0,2.0,32.0,64.0,51.0,3.0,5.0,230.0,89.0,229.0,34.0,0.0,4.0,78.0,91.0,22.0,4.0,0.0,27.0,28.0,74.0,28.0,29.0,3.0,226.0,4.0,694.0,218.0,0.0,15.0,13.0,259.0,1.0,2.0,0.0,1.0,18.0,0.0,4.0,1.0,10.0,0.0,9.0,0.0,26.0,14.0,128.0,3.0,0.0,297.0,20.0,84.0,158.0,584.0,61.0,699.0,876.0,1305.0,1422.0,1638.0,29.0,4.0,1214.0,7.0,19.0,7.0,0.0,43.0,21.0,5.0,32.0,34.0,3.0,1.0,0.0,148.0,2.0,48.0,18.0,8.0,69.0,37.0,9.0,23.0,17.0,53.0,2.0,189.0
1,0.0,2172.0,464.0,91.0,49.0,83.0,24.0,29.0,287.0,23.0,275.0,7.0,2.0,210.0,120.0,382.0,60.0,322.0,315.0,109.0,27.0,230.0,174.0,1.0,27.0,4.0,36.0,5.0,1.0,3.0,80.0,151.0,23.0,4.0,493.0,98.0,35.0,94.0,13.0,5.0,36.0,53.0,0.0,19.0,15.0,1.0,5.0,17.0,5.0,0.0,30.0,23.0,0.0,14.0,59.0,223.0,36.0,5.0,356.0,496.0,11.0,5.0,105.0,633.0,548.0,13.0,247.0,18.0,140.0,22.0,154.0,348.0,118.0,140.0,284.0,396.0,317.0,648.0,175.0,139.0,253.0,9.0,240.0,843.0,222.0,547.0,455.0,363.0,455.0,91.0,329.0,155.0,45.0,300.0,474.0,79.0,173.0,156.0,507.0,462.0,5.0,466.0,249.0,53.0,388.0,322.0,193.0,509.0,588.0,244.0,59.0,128.0,649.0,140.0,16.0,9.0,1.0,8.0,1.0,0.0,2.0,1.0,0.0,0.0,15.0,0.0,1.0,1.0,0.0,1.0,165.0,55.0,2.0,2.0,2.0,481.0,1.0,6.0,13.0,11.0,10.0,1.0,6.0,394.0,301.0,170.0,265.0,265.0,223.0,85.0,108.0,94.0,14.0,1.0,17.0,34.0,40.0,8.0,21.0,7.0,1.0,39.0,1.0,385.0,540.0,169.0,12.0,0.0,0.0,424.0,0.0,12.0,10.0,4.0,0.0,0.0,0.0,18.0,1.0,9.0,21.0,14.0,34.0,2.0,8.0,0.0,12.0,22.0,7.0,1.0,1.0,45.0,23.0,44.0,3.0,0.0,3.0,18.0,14.0,3.0,0.0,0.0,5.0,11.0,14.0,4.0,6.0,0.0,43.0,2.0,147.0,39.0,0.0,3.0,0.0,66.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,5.0,2.0,39.0,2.0,0.0,60.0,15.0,38.0,39.0,145.0,31.0,173.0,188.0,330.0,367.0,413.0,1.0,0.0,275.0,0.0,5.0,0.0,1.0,9.0,7.0,1.0,8.0,9.0,0.0,0.0,0.0,29.0,1.0,6.0,2.0,7.0,17.0,14.0,6.0,3.0,3.0,13.0,0.0,28.0
2,0.0,0.0,13757.0,958.0,401.0,721.0,202.0,154.0,2481.0,140.0,1986.0,4.0,0.0,1643.0,894.0,3376.0,634.0,2309.0,2624.0,838.0,125.0,1720.0,1036.0,6.0,148.0,28.0,200.0,40.0,7.0,12.0,434.0,946.0,111.0,11.0,3954.0,751.0,282.0,579.0,100.0,60.0,260.0,317.0,6.0,182.0,46.0,2.0,21.0,104.0,31.0,0.0,273.0,118.0,0.0,65.0,555.0,1673.0,353.0,54.0,2630.0,3627.0,44.0,40.0,826.0,4933.0,3919.0,56.0,1783.0,102.0,940.0,167.0,1281.0,2316.0,720.0,1048.0,1857.0,3034.0,2538.0,4847.0,1412.0,809.0,1699.0,76.0,1558.0,6218.0,1532.0,4207.0,3593.0,2962.0,3567.0,693.0,2395.0,1066.0,368.0,2021.0,3423.0,500.0,1238.0,929.0,3405.0,3258.0,14.0,3499.0,1906.0,438.0,3112.0,2745.0,1286.0,4097.0,4282.0,1718.0,428.0,956.0,4467.0,902.0,149.0,104.0,12.0,24.0,8.0,6.0,38.0,9.0,0.0,0.0,128.0,2.0,7.0,8.0,6.0,3.0,1079.0,357.0,9.0,8.0,16.0,3335.0,10.0,90.0,177.0,92.0,48.0,9.0,35.0,4068.0,2898.0,1313.0,2084.0,2055.0,2005.0,601.0,738.0,761.0,51.0,9.0,145.0,251.0,184.0,133.0,107.0,53.0,12.0,270.0,8.0,2943.0,4093.0,1551.0,46.0,4.0,3.0,3445.0,15.0,65.0,75.0,13.0,3.0,2.0,0.0,68.0,11.0,101.0,94.0,61.0,214.0,39.0,77.0,5.0,38.0,77.0,64.0,3.0,6.0,322.0,125.0,360.0,50.0,0.0,8.0,122.0,124.0,42.0,7.0,1.0,42.0,32.0,113.0,36.0,50.0,3.0,347.0,7.0,1017.0,300.0,0.0,16.0,13.0,391.0,0.0,3.0,0.0,4.0,36.0,2.0,5.0,2.0,12.0,0.0,10.0,0.0,41.0,24.0,175.0,7.0,0.0,444.0,30.0,158.0,255.0,950.0,115.0,1022.0,1279.0,1990.0,2165.0,2464.0,38.0,3.0,1806.0,6.0,22.0,11.0,1.0,55.0,37.0,7.0,45.0,40.0,4.0,5.0,0.0,205.0,3.0,65.0,28.0,21.0,100.0,69.0,14.0,30.0,22.0,65.0,3.0,304.0
3,0.0,0.0,0.0,3566.0,246.0,295.0,87.0,49.0,748.0,40.0,557.0,3.0,1.0,482.0,287.0,899.0,267.0,629.0,774.0,349.0,30.0,465.0,282.0,2.0,46.0,11.0,74.0,11.0,3.0,4.0,117.0,265.0,29.0,3.0,1007.0,204.0,116.0,150.0,24.0,9.0,63.0,94.0,5.0,51.0,12.0,0.0,8.0,31.0,13.0,0.0,83.0,39.0,0.0,19.0,182.0,552.0,117.0,12.0,621.0,935.0,17.0,17.0,234.0,1292.0,993.0,16.0,504.0,31.0,249.0,48.0,321.0,600.0,178.0,280.0,493.0,762.0,630.0,1290.0,385.0,204.0,408.0,18.0,408.0,1662.0,434.0,1014.0,886.0,745.0,896.0,167.0,644.0,325.0,90.0,501.0,805.0,149.0,357.0,246.0,921.0,792.0,2.0,856.0,481.0,132.0,862.0,762.0,386.0,1029.0,1115.0,518.0,124.0,260.0,1173.0,243.0,69.0,23.0,3.0,10.0,1.0,1.0,11.0,4.0,0.0,0.0,38.0,1.0,2.0,1.0,3.0,1.0,260.0,106.0,0.0,1.0,5.0,857.0,3.0,22.0,52.0,20.0,8.0,5.0,45.0,995.0,1359.0,425.0,553.0,536.0,506.0,184.0,202.0,219.0,16.0,6.0,57.0,84.0,74.0,54.0,34.0,17.0,3.0,73.0,0.0,715.0,969.0,441.0,13.0,3.0,1.0,950.0,4.0,21.0,26.0,1.0,1.0,0.0,0.0,18.0,5.0,31.0,25.0,12.0,70.0,11.0,17.0,1.0,7.0,24.0,17.0,0.0,3.0,99.0,30.0,110.0,23.0,0.0,1.0,25.0,31.0,9.0,1.0,0.0,5.0,11.0,48.0,14.0,14.0,1.0,93.0,4.0,325.0,77.0,0.0,10.0,5.0,103.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,7.0,4.0,63.0,5.0,0.0,116.0,22.0,49.0,48.0,223.0,19.0,321.0,399.0,577.0,589.0,721.0,10.0,0.0,489.0,2.0,9.0,3.0,1.0,18.0,13.0,3.0,15.0,10.0,1.0,0.0,1.0,74.0,1.0,24.0,16.0,6.0,19.0,21.0,3.0,11.0,6.0,21.0,0.0,120.0
4,0.0,0.0,0.0,0.0,1432.0,153.0,44.0,25.0,355.0,30.0,248.0,0.0,0.0,215.0,148.0,394.0,117.0,280.0,362.0,148.0,14.0,215.0,119.0,0.0,17.0,5.0,20.0,2.0,2.0,3.0,58.0,123.0,13.0,0.0,476.0,87.0,45.0,68.0,13.0,5.0,23.0,41.0,1.0,18.0,9.0,1.0,3.0,9.0,3.0,0.0,49.0,16.0,0.0,8.0,55.0,213.0,34.0,7.0,266.0,458.0,10.0,9.0,138.0,580.0,415.0,10.0,190.0,16.0,129.0,25.0,134.0,265.0,72.0,120.0,229.0,330.0,249.0,548.0,196.0,116.0,178.0,7.0,192.0,705.0,199.0,445.0,387.0,322.0,405.0,91.0,262.0,151.0,49.0,231.0,335.0,77.0,175.0,94.0,421.0,371.0,1.0,351.0,198.0,61.0,370.0,333.0,185.0,480.0,532.0,233.0,64.0,126.0,469.0,120.0,37.0,11.0,0.0,4.0,1.0,2.0,3.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,2.0,127.0,66.0,1.0,2.0,2.0,341.0,0.0,6.0,25.0,13.0,7.0,7.0,27.0,449.0,568.0,215.0,256.0,288.0,267.0,111.0,108.0,118.0,6.0,5.0,34.0,37.0,40.0,20.0,15.0,10.0,0.0,29.0,0.0,314.0,436.0,202.0,7.0,1.0,1.0,399.0,1.0,7.0,7.0,4.0,0.0,0.0,0.0,7.0,1.0,14.0,14.0,5.0,25.0,4.0,11.0,0.0,4.0,12.0,8.0,0.0,1.0,39.0,19.0,64.0,7.0,0.0,1.0,14.0,20.0,6.0,2.0,0.0,4.0,7.0,14.0,6.0,7.0,0.0,43.0,2.0,135.0,36.0,0.0,5.0,3.0,54.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,2.0,32.0,0.0,0.0,47.0,7.0,35.0,29.0,82.0,10.0,154.0,190.0,267.0,264.0,323.0,6.0,0.0,230.0,2.0,2.0,1.0,0.0,6.0,3.0,1.0,5.0,4.0,0.0,0.0,1.0,24.0,0.0,8.0,6.0,3.0,12.0,10.0,0.0,1.0,2.0,7.0,0.0,58.0
5,0.0,0.0,0.0,0.0,0.0,3271.0,58.0,31.0,760.0,57.0,338.0,1.0,0.0,352.0,196.0,721.0,184.0,485.0,595.0,237.0,34.0,408.0,216.0,0.0,42.0,8.0,61.0,7.0,2.0,4.0,108.0,246.0,26.0,2.0,763.0,176.0,70.0,127.0,14.0,7.0,54.0,61.0,4.0,48.0,6.0,0.0,5.0,18.0,7.0,0.0,84.0,51.0,0.0,17.0,136.0,329.0,73.0,9.0,533.0,716.0,10.0,16.0,194.0,972.0,756.0,18.0,347.0,15.0,210.0,32.0,252.0,465.0,140.0,184.0,402.0,627.0,541.0,1006.0,329.0,148.0,338.0,19.0,326.0,1280.0,343.0,783.0,660.0,556.0,704.0,160.0,475.0,249.0,75.0,395.0,674.0,102.0,285.0,197.0,729.0,638.0,5.0,854.0,368.0,119.0,652.0,649.0,378.0,882.0,920.0,437.0,92.0,222.0,1025.0,230.0,63.0,23.0,2.0,5.0,0.0,1.0,6.0,3.0,0.0,0.0,28.0,1.0,6.0,1.0,2.0,1.0,255.0,96.0,3.0,2.0,5.0,689.0,1.0,18.0,38.0,22.0,10.0,0.0,23.0,756.0,684.0,306.0,409.0,404.0,408.0,155.0,161.0,195.0,12.0,9.0,35.0,53.0,38.0,29.0,33.0,8.0,2.0,56.0,5.0,577.0,797.0,399.0,12.0,0.0,1.0,668.0,5.0,9.0,27.0,5.0,2.0,0.0,0.0,12.0,0.0,16.0,24.0,12.0,68.0,5.0,20.0,1.0,3.0,12.0,14.0,2.0,4.0,91.0,31.0,97.0,9.0,0.0,3.0,43.0,54.0,12.0,1.0,0.0,12.0,11.0,29.0,13.0,16.0,1.0,89.0,2.0,261.0,82.0,0.0,6.0,3.0,79.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,6.0,6.0,51.0,3.0,0.0,110.0,22.0,56.0,73.0,241.0,30.0,257.0,307.0,464.0,483.0,539.0,8.0,1.0,388.0,0.0,4.0,5.0,0.0,7.0,13.0,2.0,9.0,11.0,0.0,0.0,0.0,41.0,0.0,13.0,12.0,2.0,17.0,16.0,4.0,6.0,3.0,19.0,2.0,59.0
6,0.0,0.0,0.0,0.0,0.0,0.0,755.0,38.0,178.0,11.0,169.0,0.0,0.0,113.0,72.0,180.0,53.0,130.0,147.0,113.0,9.0,133.0,70.0,0.0,10.0,2.0,17.0,3.0,1.0,0.0,24.0,62.0,7.0,0.0,221.0,47.0,26.0,55.0,7.0,1.0,14.0,35.0,0.0,11.0,5.0,0.0,3.0,14.0,1.0,0.0,20.0,6.0,0.0,8.0,47.0,103.0,32.0,4.0,142.0,243.0,7.0,8.0,53.0,265.0,214.0,3.0,111.0,5.0,57.0,8.0,86.0,147.0,55.0,53.0,106.0,177.0,173.0,279.0,81.0,55.0,97.0,4.0,86.0,363.0,92.0,212.0,184.0,154.0,176.0,25.0,138.0,82.0,20.0,120.0,167.0,33.0,70.0,61.0,191.0,183.0,1.0,207.0,108.0,38.0,191.0,178.0,82.0,217.0,256.0,118.0,34.0,65.0,248.0,66.0,18.0,4.0,1.0,3.0,2.0,1.0,3.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,57.0,26.0,1.0,0.0,4.0,176.0,1.0,3.0,21.0,10.0,3.0,6.0,1.0,213.0,177.0,90.0,103.0,129.0,119.0,55.0,37.0,56.0,7.0,1.0,35.0,27.0,28.0,25.0,7.0,2.0,1.0,20.0,1.0,174.0,215.0,98.0,3.0,2.0,0.0,214.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,7.0,0.0,6.0,5.0,7.0,17.0,2.0,1.0,1.0,4.0,5.0,9.0,0.0,0.0,23.0,9.0,31.0,4.0,0.0,0.0,10.0,11.0,3.0,1.0,0.0,5.0,3.0,7.0,3.0,4.0,1.0,22.0,1.0,82.0,23.0,0.0,0.0,1.0,31.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,3.0,8.0,0.0,0.0,38.0,2.0,5.0,16.0,39.0,6.0,78.0,105.0,130.0,148.0,157.0,2.0,0.0,126.0,1.0,1.0,0.0,0.0,6.0,4.0,0.0,4.0,6.0,0.0,0.0,1.0,20.0,2.0,2.0,5.0,3.0,4.0,5.0,1.0,1.0,2.0,6.0,0.0,21.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0,99.0,10.0,122.0,1.0,0.0,73.0,47.0,113.0,29.0,88.0,109.0,70.0,6.0,84.0,39.0,0.0,12.0,0.0,11.0,2.0,0.0,0.0,22.0,67.0,13.0,1.0,158.0,33.0,15.0,37.0,9.0,3.0,11.0,17.0,0.0,4.0,3.0,1.0,3.0,4.0,0.0,0.0,8.0,8.0,0.0,3.0,28.0,73.0,15.0,2.0,100.0,170.0,6.0,2.0,49.0,198.0,152.0,2.0,70.0,4.0,50.0,12.0,52.0,96.0,49.0,47.0,72.0,107.0,107.0,185.0,65.0,45.0,70.0,2.0,69.0,266.0,63.0,167.0,132.0,113.0,155.0,23.0,93.0,48.0,15.0,90.0,118.0,26.0,54.0,27.0,162.0,127.0,0.0,138.0,79.0,23.0,131.0,122.0,43.0,147.0,175.0,74.0,30.0,51.0,200.0,33.0,10.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,44.0,12.0,1.0,1.0,3.0,122.0,0.0,3.0,14.0,2.0,3.0,2.0,6.0,146.0,131.0,63.0,85.0,92.0,101.0,38.0,39.0,35.0,8.0,1.0,23.0,20.0,13.0,9.0,7.0,4.0,0.0,16.0,0.0,108.0,145.0,55.0,2.0,0.0,0.0,159.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,5.0,0.0,9.0,4.0,8.0,15.0,0.0,7.0,1.0,2.0,8.0,1.0,1.0,0.0,16.0,7.0,21.0,4.0,0.0,1.0,4.0,8.0,1.0,0.0,1.0,5.0,1.0,4.0,5.0,2.0,0.0,15.0,0.0,66.0,10.0,0.0,0.0,2.0,25.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,1.0,0.0,15.0,4.0,8.0,3.0,35.0,2.0,54.0,70.0,109.0,108.0,141.0,1.0,1.0,96.0,0.0,5.0,0.0,0.0,5.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,10.0,0.0,4.0,2.0,0.0,6.0,3.0,0.0,2.0,1.0,8.0,1.0,24.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9604.0,140.0,1355.0,2.0,1.0,1093.0,583.0,2095.0,457.0,1480.0,1644.0,639.0,118.0,1247.0,709.0,7.0,96.0,26.0,141.0,31.0,3.0,11.0,283.0,693.0,74.0,10.0,2353.0,421.0,167.0,355.0,71.0,29.0,168.0,193.0,6.0,139.0,51.0,1.0,11.0,67.0,18.0,0.0,185.0,98.0,0.0,44.0,401.0,1098.0,245.0,38.0,1738.0,2348.0,44.0,34.0,579.0,3122.0,2420.0,48.0,1123.0,88.0,722.0,113.0,891.0,1477.0,424.0,651.0,1192.0,1802.0,1625.0,3154.0,982.0,538.0,1019.0,44.0,958.0,3956.0,969.0,2550.0,2131.0,1801.0,2184.0,440.0,1560.0,832.0,228.0,1227.0,1985.0,325.0,820.0,517.0,2279.0,2115.0,10.0,2351.0,1211.0,317.0,2010.0,1919.0,988.0,2629.0,2842.0,1189.0,310.0,665.0,3143.0,680.0,184.0,83.0,7.0,13.0,7.0,2.0,16.0,5.0,1.0,1.0,77.0,0.0,10.0,5.0,8.0,1.0,727.0,264.0,6.0,6.0,10.0,2237.0,2.0,51.0,104.0,62.0,31.0,5.0,45.0,2299.0,1921.0,951.0,1234.0,1230.0,1236.0,434.0,470.0,519.0,32.0,15.0,104.0,223.0,194.0,93.0,78.0,37.0,6.0,194.0,5.0,1834.0,2421.0,1141.0,38.0,6.0,1.0,2237.0,8.0,31.0,51.0,10.0,2.0,1.0,0.0,45.0,6.0,55.0,78.0,41.0,144.0,21.0,56.0,1.0,22.0,53.0,49.0,2.0,5.0,255.0,108.0,283.0,31.0,0.0,4.0,83.0,114.0,34.0,4.0,0.0,26.0,35.0,87.0,24.0,35.0,1.0,266.0,2.0,764.0,177.0,0.0,14.0,8.0,265.0,0.0,1.0,0.0,3.0,24.0,2.0,4.0,1.0,6.0,0.0,13.0,0.0,26.0,17.0,137.0,7.0,0.0,302.0,34.0,124.0,182.0,562.0,68.0,781.0,949.0,1442.0,1562.0,1694.0,25.0,1.0,1247.0,5.0,19.0,4.0,0.0,30.0,19.0,3.0,37.0,22.0,0.0,4.0,1.0,122.0,2.0,28.0,21.0,16.0,60.0,40.0,12.0,22.0,11.0,43.0,3.0,214.0
